date,date,open,high,low,close,volume
2017-06-28,2017-06-28,3183.633,3193.44,3170.786,3173.201,14651672000
2017-06-29,2017-06-29,3174.981,3188.774,3174.284,3188.063,12875547000
2017-06-30,2017-06-30,3176.948,3193.241,3171.57,3192.427,12146454300
2017-07-03,2017-07-03,3191.998,3196.286,3177.024,3195.912,14030571700
2017-07-04,2017-07-04,3192.889,3193.064,3174.314,3182.804,14111496700
2017-07-05,2017-07-05,3179.217,3207.31,3174.708,3207.134,14829648300
2017-07-06,2017-07-06,3203.863,3215.95,3188.773,3212.444,17580928700
2017-07-07,2017-07-07,3203.823,3219.523,3195.291,3217.957,17671541600
2017-07-10,2017-07-10,3208.463,3223.34,3203.209,3212.632,19892801000
2017-07-11,2017-07-11,3201.517,3226.908,3199.224,3203.038,18783726200
2017-07-12,2017-07-12,3201.929,3215.196,3177.935,3197.544,18690088000
2017-07-13,2017-07-13,3192.362,3219.268,3190.339,3218.163,19530361100
2017-07-14,2017-07-14,3212.032,3222.978,3204.853,3222.417,16012677300
2017-07-17,2017-07-17,3219.791,3230.354,3139.504,3176.465,26620527400
2017-07-18,2017-07-18,3159.732,3187.671,3150.128,3187.567,19062306000
2017-07-19,2017-07-19,3181.402,3232.941,3179.73,3230.976,27242072600
2017-07-20,2017-07-20,3227.506,3246.236,3225.433,3244.865,23210839200
2017-07-21,2017-07-21,3236.588,3247.712,3231.956,3237.982,20600325100
2017-07-24,2017-07-24,3230.898,3261.105,3230.071,3250.599,23305639900
2017-07-25,2017-07-25,3249.138,3261.645,3233.138,3243.689,20557387300
2017-07-26,2017-07-26,3244.461,3264.848,3228.039,3247.675,21354200500
2017-07-27,2017-07-27,3243.765,3251.926,3220.637,3249.781,22848594500
2017-07-28,2017-07-28,3240.173,3256.371,3232.963,3253.24,18222688000
2017-07-31,2017-07-31,3252.752,3276.946,3251.194,3273.028,24603944000
2017-08-01,2017-08-01,3274.369,3292.638,3273.504,3292.638,23719459400
2017-08-02,2017-08-02,3288.518,3305.431,3282.038,3285.057,26673062800
2017-08-03,2017-08-03,3279.986,3293.369,3262.155,3272.929,23327700400
2017-08-04,2017-08-04,3269.318,3287.193,3261.307,3262.081,27590634000
2017-08-07,2017-08-07,3257.67,3280.104,3243.715,3279.457,23117337900
2017-08-08,2017-08-08,3277.189,3285.483,3269.658,3281.873,25204353700
2017-08-09,2017-08-09,3277.808,3277.943,3263.847,3275.573,23559790700
2017-08-10,2017-08-10,3269.735,3282.519,3236.183,3261.749,24068462200
2017-08-11,2017-08-11,3237.922,3245.116,3200.748,3208.541,26296299500
2017-08-14,2017-08-14,3206.044,3240.052,3206.044,3237.36,19034679600
2017-08-15,2017-08-15,3235.23,3263.589,3235.101,3251.262,18229799700
2017-08-16,2017-08-16,3247.853,3248.785,3228.871,3246.451,17685205100
2017-08-17,2017-08-17,3253.846,3269.139,3251.459,3268.43,20362255100
2017-08-18,2017-08-18,3253.243,3275.076,3248.083,3268.724,19112248300
2017-08-21,2017-08-21,3274.581,3287.519,3270.475,3286.906,18612248300
2017-08-22,2017-08-22,3287.615,3293.476,3274.941,3290.226,18653799100
2017-08-23,2017-08-23,3283.797,3299.457,3274.44,3287.705,17983220800
2017-08-24,2017-08-24,3287.959,3297.989,3266.359,3271.512,16346893700
2017-08-25,2017-08-25,3271.461,3331.915,3271.461,3331.522,20583948200
2017-08-28,2017-08-28,3336.126,3375.034,3336.126,3362.651,25746143800
2017-08-29,2017-08-29,3362.06,3374.595,3354.463,3365.226,21950453500
2017-08-30,2017-08-30,3361.821,3376.648,3357.08,3363.627,24686331200
2017-08-31,2017-08-31,3361.462,3367.358,3340.687,3360.81,23441978100
2017-09-01,2017-09-01,3365.991,3381.925,3358.472,3367.119,28249758400
2017-09-04,2017-09-04,3369.719,3381.403,3359.131,3379.583,26742784900
2017-09-05,2017-09-05,3377.197,3390.823,3371.571,3384.317,21655294600
2017-09-06,2017-09-06,3372.428,3391.011,3364.765,3385.389,22909078500
2017-09-07,2017-09-07,3383.628,3387.796,3363.177,3365.497,22111868500
2017-09-08,2017-09-08,3364.428,3380.89,3353.688,3365.243,19840518400
2017-09-11,2017-09-11,3365.351,3384.81,3360.046,3376.419,21901101900
2017-09-12,2017-09-12,3381.487,3391.069,3370.852,3379.488,27291031900
2017-09-13,2017-09-13,3374.719,3387.14,3366.541,3384.147,19455071500
2017-09-14,2017-09-14,3383.47,3391.644,3361.334,3371.426,22130648700
2017-09-15,2017-09-15,3365.145,3365.528,3345.328,3353.619,21976581600
2017-09-18,2017-09-18,3352.513,3371.749,3352.513,3362.859,19031967600
2017-09-19,2017-09-19,3365.532,3370.401,3344.705,3356.845,19112969100
2017-09-20,2017-09-20,3352.185,3370.098,3346.536,3365.996,19219666100
2017-09-21,2017-09-21,3364.698,3377.884,3356.875,3357.812,19744869500
2017-09-22,2017-09-22,3347.157,3356.451,3334.985,3352.529,17923400700
2017-09-25,2017-09-25,3344.589,3350.961,3334.944,3341.549,16962129300
2017-09-26,2017-09-26,3336.35,3347.163,3332.599,3343.583,13262859500
2017-09-27,2017-09-27,3340.822,3349.695,3340.299,3345.272,14308694500
2017-09-28,2017-09-28,3343.845,3344.601,3336.178,3339.642,14944430000
2017-09-29,2017-09-29,3340.311,3357.015,3340.311,3348.943,14486244300
2017-10-09,2017-10-09,3403.246,3410.17,3366.965,3374.378,19173605700
2017-10-10,2017-10-10,3373.345,3384.026,3358.795,3382.988,17942384100
2017-10-11,2017-10-11,3381.488,3395.779,3379.163,3388.284,18147670400
2017-10-12,2017-10-12,3385.533,3390.204,3372.533,3386.1,16180938000
2017-10-13,2017-10-13,3384.488,3395.748,3383.239,3390.523,13995476400
2017-10-16,2017-10-16,3393.206,3400.511,3374.769,3378.47,17433062000
2017-10-17,2017-10-17,3373.234,3382.407,3365.565,3372.041,12538172500
2017-10-18,2017-10-18,3373.528,3383.232,3371.925,3381.794,15722879100
2017-10-19,2017-10-19,3374.644,3378.736,3359.628,3370.172,15847649500
2017-10-20,2017-10-20,3363.514,3379.765,3360.1,3378.648,12717285100
2017-10-23,2017-10-23,3382.28,3385.285,3374.705,3380.699,13084628900
2017-10-24,2017-10-24,3376.599,3388.689,3374.125,3388.248,13989751100
2017-10-25,2017-10-25,3384.858,3398.304,3382.034,3396.898,12313122200
2017-10-26,2017-10-26,3397.519,3414.242,3391.455,3407.567,18376862500
2017-10-27,2017-10-27,3404.498,3421.103,3402.114,3416.812,17025717300
2017-10-30,2017-10-30,3413.868,3419.732,3357.276,3390.337,20834928600
2017-10-31,2017-10-31,3380.999,3397.099,3376.124,3393.342,15349820600
2017-11-01,2017-11-01,3393.968,3410.352,3388.598,3395.913,18056612700
2017-11-02,2017-11-02,3391.652,3391.652,3372.213,3383.31,16686426700
2017-11-03,2017-11-03,3377.736,3380.57,3347.36,3371.744,17271479000
2017-11-06,2017-11-06,3369.685,3389.383,3356.534,3388.174,15463646800
2017-11-07,2017-11-07,3389.472,3415.148,3387.946,3413.575,19057174600
2017-11-08,2017-11-08,3409.147,3434.492,3404.881,3415.46,18543647000
2017-11-09,2017-11-09,3410.672,3428.77,3408.619,3427.795,15865042600
2017-11-10,2017-11-10,3423.185,3438.792,3414.329,3432.673,18927650300
2017-11-13,2017-11-13,3435.184,3449.164,3435.085,3447.836,20538905400
2017-11-14,2017-11-14,3446.545,3450.495,3419.692,3429.548,19647267400
2017-11-15,2017-11-15,3416.211,3423.75,3396.381,3402.525,16879207600
2017-11-16,2017-11-16,3393.194,3409.653,3390.589,3399.25,15668433200
2017-11-17,2017-11-17,3392.683,3403.286,3373.296,3382.908,24945815300
2017-11-20,2017-11-20,3361.356,3393.106,3337.116,3392.399,17652468300
2017-11-21,2017-11-21,3382.36,3419.802,3377.599,3410.498,19687180300
2017-11-22,2017-11-22,3417.331,3442.178,3404.287,3430.464,21356709300
2017-11-23,2017-11-23,3425.009,3429.424,3342.332,3351.918,21526539300
2017-11-24,2017-11-24,3340.384,3360.746,3328.334,3353.821,15956966300
2017-11-27,2017-11-27,3346.657,3347.051,3315.264,3322.23,16643917000
2017-11-28,2017-11-28,3311.232,3333.8,3300.781,3333.657,13824779900
2017-11-29,2017-11-29,3335.567,3343.062,3305.572,3337.862,18380593200
2017-11-30,2017-11-30,3328.643,3340.92,3306.283,3317.188,15659585100
2017-12-01,2017-12-01,3315.105,3324.516,3302.44,3317.617,13919830000
2017-12-04,2017-12-04,3310.381,3323.996,3304.103,3309.618,14805328800
2017-12-05,2017-12-05,3301.691,3315.737,3300.512,3303.675,20827886200
2017-12-06,2017-12-06,3291.313,3296.201,3254.611,3293.965,15160445200
2017-12-07,2017-12-07,3283.279,3291.282,3259.164,3272.054,13210590000
2017-12-08,2017-12-08,3264.478,3297.13,3258.759,3289.992,13320931400
2017-12-11,2017-12-11,3290.488,3322.674,3288.295,3322.196,13196598400
2017-12-12,2017-12-12,3320.31,3320.31,3280.329,3280.814,12460482700
2017-12-13,2017-12-13,3278.397,3304.01,3273.325,3303.037,11199864700
2017-12-14,2017-12-14,3302.932,3309.53,3282.573,3292.439,12054423500
2017-12-15,2017-12-15,3287.529,3287.529,3259.388,3266.137,13094061800
2017-12-18,2017-12-18,3268.034,3280.544,3254.178,3267.922,12070038900
2017-12-19,2017-12-19,3266.019,3296.94,3266.019,3296.538,11514013400
2017-12-20,2017-12-20,3296.74,3300.212,3276.12,3287.606,13774511800
2017-12-21,2017-12-21,3281.118,3309.223,3267.404,3300.059,14212792700
2017-12-22,2017-12-22,3297.685,3307.328,3293.442,3297.063,12404732600
2017-12-25,2017-12-25,3296.211,3312.3,3270.441,3280.461,14689363500
2017-12-26,2017-12-26,3277.837,3307.299,3274.327,3306.125,14243450100
2017-12-27,2017-12-27,3302.461,3307.08,3270.349,3275.783,16267489000
2017-12-28,2017-12-28,3272.291,3304.096,3263.728,3296.385,17537167000
2017-12-29,2017-12-29,3295.246,3308.225,3292.77,3307.172,14158683600
2018-01-02,2018-01-02,3314.031,3349.053,3314.031,3348.326,20227886000
2018-01-03,2018-01-03,3347.743,3379.915,3345.289,3369.108,21383614900
2018-01-04,2018-01-04,3371.0,3392.826,3365.295,3385.71,20695528800
2018-01-05,2018-01-05,3386.464,3402.069,3380.245,3391.75,21306068100
2018-01-08,2018-01-08,3391.553,3412.731,3384.559,3409.48,23616510600
2018-01-09,2018-01-09,3406.112,3417.228,3403.587,3413.9,19148855100
